scientificName,decimalLongitude,decimalLatitude
Callinectes sapidus,-97.5575,27.2325
Callinectes sapidus,-87.7567,30.22
Callinectes sapidus,-96.546667,28.488333
Callinectes sapidus,-96.4175,28.632778
Callinectes sapidus,-81.42700195,30.76300049
Callinectes sapidus,-96.511111,28.486111
Callinectes sapidus,-87.8767,30.275
Callinectes sapidus,-97.284722,26.115278
Callinectes sapidus,-76.03425,37.24133333
Callinectes sapidus,-97.140278,28.143889
Callinectes sapidus,-76.251,38.1395
Callinectes sapidus,-96.852222,28.119167
Callinectes sapidus,-97.531111,27.340278
Callinectes sapidus,-76.11171667,37.62376664
Callinectes sapidus,-96.481944,28.591667
Callinectes sapidus,-97.025,27.975
Callinectes sapidus,-76.39716667,39.163
Callinectes sapidus,-97.308611,27.873333
Callinectes sapidus,-97.119444,27.809444
Callinectes sapidus,-76.1165,37.357
Callinectes sapidus,-97.287778,27.723056
Callinectes sapidus,-97.025,28.025
Callinectes sapidus,-97.329167,27.716667
Callinectes sapidus,-96.573611,28.665278
Callinectes sapidus,-97.331944,26.372222
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-97.059444,27.911667
Callinectes sapidus,-97.084722,27.977778
Callinectes sapidus,-76.08056667,37.36088333
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-87.8283,30.3933
Callinectes sapidus,-97.465278,27.820833
Callinectes sapidus,-76.07916667,37.40916667
Callinectes sapidus,-97.326389,26.393056
Callinectes sapidus,-97.109722,27.890278
Callinectes sapidus,-88.3217,30.3783
Callinectes sapidus,-97.166667,27.731944
Callinectes sapidus,-97.0525,27.868889
